Tweet id,Fecha de Publicación,Tweet,Retweets,Favoritos
765886584533061632,Wed Aug 17 12:22:45 +0000 2016,"UN MITO | ¿En La Habana los negociadores del Gobierno le están entregando el país a las Farc? | Habla Gral. (r) Mora
https://t.co/GPk5WjU64W",76,38
765552575810646016,Tue Aug 16 14:15:32 +0000 2016,"DECLARACIÓN | Pensar que se pueden renegociar unos puntos sería un tremendo error, muy poco ganaría la sociedad
https://t.co/S7n1pNcHms",51,39
765545921497161728,Tue Aug 16 13:49:05 +0000 2016,DECLARACIÓN de Humberto de la Calle | Ver &gt;&gt;&gt; https://t.co/mMd0dJXNMd https://t.co/NckeJSygjh,26,19
765534109598937088,Tue Aug 16 13:02:09 +0000 2016,"Poner fin al conflicto es una certeza, pensar que se pueden renegociar algunos puntos sería un error. Estoy seguro de lo que digo: HCalle",29,23
765533403269693440,Tue Aug 16 12:59:20 +0000 2016,Resistirse a dar el paso el día del plebiscito es condenar al país a un periodo de incertidumbre: Humberto de la Calle,29,15
765532679752286208,Tue Aug 16 12:56:28 +0000 2016,"Pensar que se pueden renegociar unos puntos sería un tremendo error, muy poco ganaría la sociedad colombiana: HCalle",29,15
765532601197203456,Tue Aug 16 12:56:09 +0000 2016,"En mi opinión, después de cuatros años no hay espacio para reabrir las negociaciones. En el plebiscito debemos tomar una decisión: HCalle",21,18
765530984871817216,Tue Aug 16 12:49:44 +0000 2016,El propósito central de un proceso de paz es desechar las armas y abrir el espacio de la política sin combinación de formas de lucha: HCalle,30,13
765530376433524736,Tue Aug 16 12:47:19 +0000 2016,El mecanismo de escogencia de los magistrados del Tribunal Especial para la Paz garantiza la mayor transparencia en la selección: HCalle,15,7
765529166796251137,Tue Aug 16 12:42:30 +0000 2016,Hemos iniciado la maratón pedagógica con el objetivo de informar de manera neutral a los Colombianos sobre lo acordado hasta ahora: HCalle,18,19
765528640851419136,Tue Aug 16 12:40:25 +0000 2016,Estamos trabajando con mayor intensidad en La Habana con el propósito d alcanzar el mejor acuerdo de paz para Colombia: Humberto de la Calle,28,31
765177916476960768,Mon Aug 15 13:26:46 +0000 2016,"Cese al fuego no es sólo militar, también es cese de hostilidades, extorsiones, minería ilegal, narcotráfico: HCalle
https://t.co/JjMlAU5Shd",134,107
763507516403658752,Wed Aug 10 22:49:11 +0000 2016,Culmina con éxito 2do día de visitas técnicas a zonas y puntos donde Farc se desarmarán e iniciarán reincorporación https://t.co/BhJxdXCVFA,20,25
762661316435714048,Mon Aug 08 14:46:42 +0000 2016,"Mientras en Colombia inician visitas técnicas a la zonas, en La Habana la delegación continúa trabajando.",12,15
